post_link,title,body_question,body_answer,answer_id,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate,answer_LastEditDate,answer_CreationDate
"18887823","Is it possible to decrypt SHA1","<p>Is it possible to decrypt(retain the actual string) the password which is saved in db using <code>SHA1</code> algorithm.</p>

<p>Example:If password is <code>""password""</code> and it is stored in db as <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code>,is any chance to retain the same <code>""password""(string)</code> from <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code> </p>
","<p>SHA1 is a one way hash. So you can not really revert it.</p>

<p>That's why applications use it to store the hash of the password and not the password itself.</p>

<p>Like every hash function SHA-1 maps a large input set (the keys) to a smaller target set (the hash values). Thus collisions can occur. This means that two values of the input set map to the same hash value.</p>

<p>Obviously the collision probability increases when the target set is getting smaller. But vice versa this also means that the collision probability decreases when the target set is getting larger and SHA-1's target set is 160 bit.</p>

<p><strong>Jeff Preshing</strong>, wrote a very good blog about <a href=""http://preshing.com/20110504/hash-collision-probabilities/"" rel=""nofollow noreferrer"">Hash Collision Probabilities</a> that can help you to decide which hash algorithm to use. Thanks Jeff.</p>

<p>In his blog he shows a table that tells us the probability of collisions for a given input set.</p>

<p><a href=""http://preshing.com/20110504/hash-collision-probabilities/"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/1ldEA.png"" alt=""Hash Collision Probabilities Table""></a></p>

<p>As you can see the probability of a  32-bit hash is 1 in 2 if you have 77163 input values.</p>

<p>A simple java program will show us what his table shows:</p>

<pre><code>public class Main {

    public static void main(String[] args) {
        char[] inputValue = new char[10];

        Map&lt;Integer, String&gt; hashValues = new HashMap&lt;Integer, String&gt;();

        int collisionCount = 0;

        for (int i = 0; i &lt; 77163; i++) {
            String asString = nextValue(inputValue);
            int hashCode = asString.hashCode();
            String collisionString = hashValues.put(hashCode, asString);
            if (collisionString != null) {
                collisionCount++;
                System.out.println(""Collision: "" + asString + "" &lt;-&gt; "" + collisionString);
            }
        }

        System.out.println(""Collision count: "" + collisionCount);
    }

    private static String nextValue(char[] inputValue) {
        nextValue(inputValue, 0);

        int endIndex = 0;
        for (int i = 0; i &lt; inputValue.length; i++) {
            if (inputValue[i] == 0) {
                endIndex = i;
                break;
            }
        }

        return new String(inputValue, 0, endIndex);
    }

    private static void nextValue(char[] inputValue, int index) {
        boolean increaseNextIndex = inputValue[index] == 'z';

        if (inputValue[index] == 0 || increaseNextIndex) {
            inputValue[index] = 'A';
        } else {
            inputValue[index] += 1;
        }

        if (increaseNextIndex) {
            nextValue(inputValue, index + 1);
        }

    }

}
</code></pre>

<p>My output end with:</p>

<pre><code>Collision: RvV &lt;-&gt; SWV
Collision: SvV &lt;-&gt; TWV
Collision: TvV &lt;-&gt; UWV
Collision: UvV &lt;-&gt; VWV
Collision: VvV &lt;-&gt; WWV
Collision: WvV &lt;-&gt; XWV
Collision count: 35135
</code></pre>

<p>It produced 35135 collsions and that's the nearly the half of 77163. And if I ran the program with 30084 input values the collision count is 13606. This is not exactly 1 in 10, but it is only a probability and the example program is not perfect, because it only uses the ascii chars between <code>A</code> and <code>z</code>.</p>

<p>Let's take the last reported collision and check </p>

<pre><code>System.out.println(""VvV"".hashCode());
System.out.println(""WWV"".hashCode());
</code></pre>

<p>My output is</p>

<pre><code>86390
86390
</code></pre>

<p><strong>Conclusion:</strong></p>

<p>If you have a SHA-1 value and you want to get the input value back you can try a brute force attack. This means that you have to generate all possible input values, hash them and compare them with the SHA-1 you have. But that will consume a lot of time and computing power. Some people created so called <strong>rainbow tables</strong> for some input sets. But these do only exist for some small input sets.</p>

<p>And remember that many input values map to a single target hash value. So even if you would know all mappings (which is impossible, because the input set is unbounded) you still can't say which input value it was.</p>
","18887891","108334","<security><spring-security><sha1><sha>","14","6","3","2018-10-08 11:04:05","","0","3","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41","2018-05-10 09:04:36","2013-09-19 06:47:04"
"18887823","Is it possible to decrypt SHA1","<p>Is it possible to decrypt(retain the actual string) the password which is saved in db using <code>SHA1</code> algorithm.</p>

<p>Example:If password is <code>""password""</code> and it is stored in db as <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code>,is any chance to retain the same <code>""password""(string)</code> from <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code> </p>
","<p><code>SHA1</code> is a cryptographic hash function, so the intention of the design was to avoid what you are trying to do.</p>

<p>However, breaking a <code>SHA1</code> hash is technically possible. You can do so by just trying to guess what was hashed. This brute-force approach is of course not efficient, but that's pretty much the only way.</p>

<p>So to answer your question: yes, it is possible, but you need significant computing power. Some researchers estimate that <a href=""https://en.wikipedia.org/wiki/SHA-1#The_SHAppening"" rel=""noreferrer"">it costs $70k - $120k</a>.</p>

<p>As far as we can tell today, there is also no other way but to guess the hashed input. This is because operations such as <code>mod</code> eliminate information from your input. Suppose you calculate <code>mod 5</code> and you get <code>0</code>. What was the input? Was it <code>0</code>, <code>5</code> or <code>500</code>? You see, you can't really 'go back' in this case.</p>
","18888060","108334","<security><spring-security><sha1><sha>","14","24","3","2018-10-08 11:04:05","","0","3","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41","2018-10-08 11:04:05","2013-09-19 06:56:06"
"18887823","Is it possible to decrypt SHA1","<p>Is it possible to decrypt(retain the actual string) the password which is saved in db using <code>SHA1</code> algorithm.</p>

<p>Example:If password is <code>""password""</code> and it is stored in db as <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code>,is any chance to retain the same <code>""password""(string)</code> from <code>""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24""</code> </p>
","<p>Since SHA-1 maps several byte sequences to one, you can't ""decrypt"" a hash, but in theory you can find collisions: strings that have the same hash.</p>

<p>It seems that breaking a single hash would cost about <a href=""http://en.wikipedia.org/wiki/SHA-1#Attacks"" rel=""noreferrer"">2.7 million dollars</a> worth of computer time currently, so your efforts are probably better spent somewhere else.</p>
","18888107","108334","<security><spring-security><sha1><sha>","14","5","3","2018-10-08 11:04:05","","0","3","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41","","2013-09-19 06:58:52"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>Currently, php mysqli extension do not support new caching_sha2 authentication feature.
You have to wait until they release an update.</p>

<p>Check related post from mysql developers : <a href=""https://mysqlserverteam.com/upgrading-to-mysql-8-0-default-authentication-plugin-considerations/"" rel=""noreferrer"">https://mysqlserverteam.com/upgrading-to-mysql-8-0-default-authentication-plugin-considerations/</a></p>

<p>They didnt mention PDO, maybe you should try to connect with PDO.</p>
","50027581","87134","<php><mysql><hash><sha>","57","27","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","","2018-04-25 16:54:56"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>I solve this by SQL command:</p>

<pre><code>ALTER USER 'mysqlUsername'@'localhost' IDENTIFIED WITH mysql_native_password BY 'mysqlUsernamePassword';
</code></pre>

<p>which is referenced by <a href=""https://dev.mysql.com/doc/refman/8.0/en/alter-user.html"" rel=""noreferrer"">https://dev.mysql.com/doc/refman/8.0/en/alter-user.html</a></p>

<p>if you are creating new user </p>

<pre><code> CREATE USER 'jeffrey'@'localhost' IDENTIFIED WITH mysql_native_password BY 'password';
</code></pre>

<p>which is referenced by <a href=""https://dev.mysql.com/doc/refman/8.0/en/create-user.html"" rel=""noreferrer"">https://dev.mysql.com/doc/refman/8.0/en/create-user.html</a></p>

<p>this works for me </p>
","50776838","87134","<php><mysql><hash><sha>","57","148","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","","2018-06-09 17:28:18"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<pre><code>ALTER USER 'mysqlUsername'@'localhost' IDENTIFIED WITH mysql_native_password BY 'mysqlUsernamePassword';
</code></pre>

<p>Remove quotes (') after <code>ALTER USER</code> and keep quote (') after <code>mysql_native_password BY</code></p>

<p>It is working for me also.</p>
","54102508","87134","<php><mysql><hash><sha>","57","14","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","2019-06-20 05:43:06","2019-01-09 02:30:17"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>It's working for me (PHP 5.6 + PDO / MySQL Server 8.0 / Windows 7 64bits)</p>

<p>Edit the file <code>C:\ProgramData\MySQL\MySQL Server 8.0\my.ini</code>: </p>

<pre><code>default_authentication_plugin=mysql_native_password
</code></pre>

<p>Reset MySQL service on Windows, and in the MySQL Shell...</p>

<pre><code>ALTER USER my_user@'%' IDENTIFIED WITH mysql_native_password BY 'password';
</code></pre>
","55976514","87134","<php><mysql><hash><sha>","57","6","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","2019-05-26 12:30:35","2019-05-03 20:11:35"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>I ran the following command
<code>ALTER USER 'root' @ 'localhost' identified with mysql_native_password BY 'root123';</code> in the command line and finally restart MySQL in local services.</p>
","56285836","87134","<php><mysql><hash><sha>","57","2","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","2019-05-24 05:31:46","2019-05-24 04:20:33"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>If you're on Windows and it's not possible to use <code>caching_sha2_password</code> at all, you can do the following:</p>

<ol>
<li>rerun the MySQL Installer</li>
<li>select ""Reconfigure"" next to MySQL Server (the top item)</li>
<li>click ""Next"" until you get to ""Authentication Method""</li>
<li>change ""Use Strong Password Encryption for Authentication (RECOMMENDED)"" to ""Use Legacy Authentication Method (Retain MySQL 5.X Compatibility)</li>
<li>click ""Next""</li>
<li>enter your Root Account Password in Accounts and Roles, and click ""Check""</li>
<li>click ""Next""</li>
<li>keep clicking ""Next"" until you get to ""Apply Configuration""</li>
<li>click ""Execute""</li>
</ol>

<p>The Installer will make all the configuration changes needed for you.</p>
","56680098","87134","<php><mysql><hash><sha>","57","10","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","","2019-06-20 06:22:16"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","<p>I am using php <code>mysqli_connect</code> for login to a MySQL database (all on localhost)</p>

<pre><code>&lt;?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?&gt;
</code></pre>

<p>this is the mysql.user table:
<a href=""https://i.stack.imgur.com/fyMXv.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/fyMXv.jpg"" alt=""mysql.user table""></a></p>

<p>MySQL Server ini File:</p>

<pre><code>[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password
</code></pre>

<p>with <code>caching_sha2_password</code> in the MySQL Server ini file, it's not possible at all to login with user1 or user2;</p>

<blockquote>
  <p>error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...</p>
</blockquote>

<p>with <code>mysql_native_password</code> in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;</p>

<hr>

<p>how can I login using <code>caching_sha2_password</code> on the mySql Server?</p>
","<p>I tried this in Ubuntu 18.04
and is the only solution that worked for me:</p>

<pre><code>ALTER USER my_user@'%' IDENTIFIED WITH mysql_native_password BY 'password';
</code></pre>
","57845848","87134","<php><mysql><hash><sha>","57","0","12","2020-01-03 16:39:39","50027581","2","24","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32","","2019-09-09 02:15:34","2019-09-08 21:22:34"
